node,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
và,0.19005251,-0.09254969,0.10088305,0.18091102,0.030131783,0.021513987,-0.14003104,0.24212523,-0.117710814,0.3352663,-0.046258926,-0.07910751,0.24349569,-0.30784827,0.09116271,0.10979872,-0.10365447,0.35618728,-0.039222877,0.19594537,0.12763157,-0.40696767,-0.044823892,0.31888092,0.1260173,-0.03782219,-0.17324285,-0.02527317,0.05858178,-0.06448707,-0.22520767,-0.23070931,0.007073682,0.09577701,0.2064393,-0.08349988,0.3405857,-0.21410535,0.30086473,0.16625144,-0.14538771,-0.006939571,-0.5272546,-0.12504058,-0.0057042455,0.46122587,-0.066484585,-0.1468453,-0.05261143,-0.3468132,0.42314738,0.18056114,-0.3858155,-0.006430121,-0.40204707,0.08880954,0.43717608,-0.29280528,-0.061721858,-0.15589891,-0.08864954,-0.098645926,0.17008369,0.55012566
pusilung,0.051460467,-0.22046277,-0.11787322,-0.1266531,-0.13648553,0.31162572,0.14164284,-0.022684954,0.21430862,-0.09116303,-0.23428907,0.053951852,-0.011694655,-0.26554182,-0.30563074,-0.27063575,0.3457198,0.63532066,-0.47264227,0.015362626,0.32036817,-0.4409723,-0.023637744,-0.45498547,0.2322616,-0.12898694,0.0072596455,0.013130885,-0.10160138,0.23415256,0.18903701,0.113197885,-0.33766288,-0.04342463,0.14468132,-0.1373292,0.13030952,-0.0036906,-0.4444835,0.16639373,-0.27316037,-0.22718784,0.046307802,0.44217077,-0.013440708,0.30895698,-0.08771959,-0.122165956,-0.74395305,-0.31214648,0.02457976,0.23611021,-0.03177788,-0.13216288,-0.25846246,-0.26092964,0.010503534,0.29118136,0.1295084,-0.1704139,-0.09613322,0.21496204,-0.13605909,0.47868156
của,0.42978686,0.13391684,0.11940967,-0.079184674,-0.038371,0.19942272,0.05058581,-0.10687597,-0.14254497,0.09109104,0.19514568,-0.045516282,0.084380016,-0.1910157,-0.24795707,-0.05087927,0.2404863,0.46581113,-0.39958146,0.08722561,0.40003225,-0.54492515,-0.097817406,-0.24704082,0.36679143,-0.3951136,-0.054261833,0.3702866,-0.15625048,-0.028992422,-0.016420113,0.1285728,0.35236964,-0.12094061,0.26358145,-0.27683493,0.11265653,-0.30055588,-0.3502987,0.15477303,0.21662122,0.14002655,-0.52840567,-0.171863,0.4071314,0.3331434,-0.26492572,0.08338323,-0.19210236,-0.5869912,0.23046494,0.46855873,0.23229632,0.041044828,-0.12597482,0.0072621065,0.34599355,0.18948796,-0.15744333,-0.21086666,-0.26323074,0.24145776,0.17614503,0.25390634
người,0.027549187,-0.08555671,0.06146217,0.16666193,-0.29724154,-0.10216651,0.019031087,-0.17807318,0.06908188,0.29160464,-0.24323651,0.2396736,-0.0976997,-0.7519271,-0.28699484,-0.026534773,0.0748969,0.7619146,-0.49739745,0.111860454,-0.09628247,-0.2295298,-0.11830286,0.012187216,-0.037390415,-0.23724844,-0.09736719,0.14251556,-0.25162774,-0.13350153,-0.036948428,-0.14979607,-0.39273527,0.09268115,0.14869492,0.19643973,0.42080185,-0.23162484,-0.09508722,0.21155939,-0.3088459,0.064029686,0.05533277,0.07159015,-0.12802498,0.40190065,0.07445653,-0.09934072,-0.520377,-0.0724883,0.2981009,0.08306561,-0.28519633,0.12941821,-0.037411757,0.06239859,0.09891961,-0.32756677,-0.055409268,0.1672183,-0.17629996,-0.24636517,0.11810838,0.37994197
núi,0.09111777,-0.12069283,0.23065566,-0.10506302,0.014236623,0.0128854085,-0.32922098,0.21814921,-0.13560028,0.2758464,-0.27612504,-0.07309728,-0.414121,-0.028252205,-0.08720748,-0.32414988,-0.056962207,0.70629525,-0.6086956,-0.08261654,0.27073994,-0.34881607,-0.22438656,-0.21413231,0.37283975,-0.2842969,0.025500303,0.2507948,0.013643702,-0.22286743,-0.14931874,0.1398974,0.19399717,-0.045910846,0.4045005,-0.1833151,0.2925094,-0.07451181,-0.16756728,-0.10010378,-0.24227114,0.21637182,-0.13063909,0.22755337,0.17101637,0.64346105,0.052318934,-0.031123536,-0.65617657,-0.45503363,0.32297653,0.2017964,0.28928182,-0.26218668,-0.12342896,-0.25580058,-0.54360545,-0.23117194,-0.35997453,0.06407501,-0.4003841,0.17430508,0.34603712,0.07975188
đỉnh,0.17104582,-0.1705965,-0.06185984,0.06694849,-0.16688076,0.06570013,-0.0809298,0.039431028,0.16205604,0.17876591,-0.19146636,0.16087388,-0.0850973,-0.36044964,-0.19130963,-0.32073447,0.31984445,0.6632774,-0.53884804,-0.009259714,0.3461898,-0.63129044,-0.1269394,-0.24149424,0.3511911,-0.26397708,0.03591871,0.18058266,0.05071537,-0.085705414,0.1355483,0.017492292,-0.0868509,-0.07447561,0.2767464,-0.02406555,0.1881624,-0.017562632,-0.32414508,0.16808783,-0.15395515,-0.013228579,-0.029029714,0.36379138,0.0272253,0.55160886,-0.10680564,0.0039470736,-0.8754556,-0.17726262,0.2865709,0.27291682,0.1350649,-0.14246102,-0.07564486,-0.24673417,-0.044012003,0.040928997,-0.1492911,-0.09837373,-0.2862842,0.16999675,0.26171923,0.30554518
những,0.17479393,0.18574758,0.2859309,-0.05135634,-0.09642639,-0.25100213,0.052538957,-0.30507344,-0.3647074,0.21644917,0.20799863,-0.019799033,-0.11332042,-0.7435798,-0.13754122,0.04476723,-0.091927364,0.63007754,-0.31521884,0.113220856,-0.037072614,-0.10130499,-0.051118385,-0.12174825,-0.10484234,-0.6209668,-0.3032796,0.17919478,-0.46995458,-0.24136418,0.065745346,-0.14304781,0.13406661,-0.09629717,0.27782148,-0.01881824,0.42261815,-0.30437234,-0.24397255,0.18613565,0.25087985,0.3131985,-0.29325354,-0.19581635,0.03670548,0.38159624,-0.14761199,-0.089542665,-0.012146428,-0.73424256,0.115866214,0.27817047,-0.10167262,0.3277742,-0.14864738,0.38373375,0.62388813,-0.34155232,-0.03871598,0.08321826,-0.18276042,-0.23496015,0.17763855,0.44804823
rừng,0.096048556,-0.024245102,0.69886386,0.402848,0.059954785,-0.23060134,-0.06963408,-0.15009218,-0.7611073,0.50234944,0.08359357,-0.34453103,-0.09228473,-0.62594545,0.03513373,0.22789645,-0.7618543,0.6583451,-0.039918896,0.114579536,-0.22836591,0.17015116,-0.46599865,0.072205596,-0.1496641,-0.20931503,-0.13139766,0.033732112,-0.46578476,-0.24348588,-0.03021547,-0.22801027,0.0255787,0.1621791,0.12562315,-0.105099395,0.5106474,-0.5558082,0.19359435,-0.2630936,0.07097425,0.024460753,-0.16885567,0.037550177,-0.19152258,0.52142626,-0.1097291,-0.58068615,0.25664476,-0.91534615,0.42627683,0.16711769,-0.3930966,-0.014475714,-0.5183024,0.29480153,0.34162268,-0.6762494,0.11665528,-0.19447908,-0.022419307,-0.19150496,0.12273337,0.3099088
chinh phục,0.12926188,-0.05355269,0.27815282,-0.23953825,0.15458849,-0.13679786,-0.49850833,0.25397116,-0.18779704,0.19026498,-0.46473774,-0.16854903,-0.1820162,-0.29432303,0.4382714,-0.05559521,0.028804975,0.55514777,-0.3233999,0.03354479,0.02420945,-0.42818323,0.043617588,-0.11816131,0.09977623,-0.3603331,-0.1579263,-0.18378672,0.0020561418,-0.03418379,-0.43232656,-0.22088125,0.3826599,0.14509249,0.2875058,0.118727505,0.500199,0.07539438,0.13027489,0.15226145,-0.18420754,0.2579265,-0.39084765,0.121761315,0.15069777,0.61202836,0.2566835,-0.009807073,-0.40182424,-0.5026331,0.3394059,0.15222244,-0.0022831918,-0.38880366,-0.223065,0.014996341,-0.11532654,-0.37497932,-0.15585743,0.33893892,-0.38344052,-0.15653473,0.3010122,0.26598427
hùng vĩ,0.28135127,-0.061412845,-0.048271656,-0.2595125,0.12891127,0.22783777,-0.3229115,0.37882483,0.15877707,0.12508945,-0.4731116,-0.4915459,0.18581133,-0.23272778,0.3452268,0.060320023,0.0675585,0.37876496,-0.11100895,0.2040478,0.14317681,-0.55793715,0.32283124,0.033805937,-0.039116982,-0.040918157,-0.21131034,-0.24181408,0.055131532,0.4399994,-0.30931705,-0.3302696,0.22341524,0.26269293,0.22582175,-0.24874222,0.45362377,-0.055403918,0.17072475,0.23128012,-0.3479221,-0.22671139,-0.7365099,0.12422653,-0.050091844,0.47781652,-0.039156374,-0.40124485,-0.35689998,-0.46926293,0.16618243,0.3761496,-0.507039,-0.568384,-0.49961317,0.021985441,0.40683538,-0.063703015,-0.004269696,-0.106305085,-0.28414893,0.08951484,0.09075288,0.7677693
